RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
ICICIBANK,ICICI Bank Limited
HINDUNILVR,Hindustan Unilever Limited
SBIN,State Bank of India
BAJFINANCE,Bajaj Finance Limited
HDFC,Housing Development Finance Corporation Limited
BHARTIARTL,Bharti Airtel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
WIPRO,Wipro Limited
HCLTECH,HCL Technologies Limited
ITC,ITC Limited
ADANIGREEN,Adani Green Energy Limited
ASIANPAINT,Asian Paints Limited
BAJAJFINSV,Bajaj Finserv Limited
ADANITRANS,Adani Transmission Limited
DMART,Avenue Supermarts Limited
LT,Larsen & Toubro Limited
ATGL,Adani Total Gas Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
TITAN,Titan Company Limited
ADANIENT,Adani Enterprises Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
ONGC,Oil & Natural Gas Corporation Limited
ULTRACEMCO,UltraTech Cement Limited
JSWSTEEL,JSW Steel Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
TATASTEEL,Tata Steel Limited
POWERGRID,Power Grid Corporation of India Limited
VEDL,Vedanta Limited
TECHM,Tech Mahindra Limited
TATAMOTORS,Tata Motors Limited
HINDZINC,Hindustan Zinc Limited
NTPC,NTPC Limited
HINDALCO,Hindalco Industries Limited
PIDILITIND,Pidilite Industries Limited
DIVISLAB,Divi's Laboratories Limited
HDFCLIFE,HDFC Life Insurance Company Limited
COALINDIA,Coal India Limited
SBILIFE,SBI Life Insurance Company Limited
IOC,Indian Oil Corporation Limited
GRASIM,Grasim Industries Limited
LTI,Larsen & Toubro Infotech Limited
BAJAJ-AUTO,Bajaj Auto Limited
M&M,Mahindra & Mahindra Limited
DABUR,Dabur India Limited
DLF,DLF Limited
SHREECEM,SHREE CEMENT LIMITED
SIEMENS,Siemens Limited
CIPLA,Cipla Limited
SBICARD,SBI Cards and Payment Services Limited
NYKAA,FSN E-Commerce Ventures Limited
SRF,SRF Limited
BPCL,Bharat Petroleum Corporation Limited
INDIGO,InterGlobe Aviation Limited
BRITANNIA,Britannia Industries Limited
GODREJCP,Godrej Consumer Products Limited
TATAPOWER,Tata Power Company Limited
INDUSINDBK,IndusInd Bank Limited
HAVELLS,Havells India Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
DRREDDY,Dr. Reddy's Laboratories Limited
ADANIPOWER,Adani Power Limited
MINDTREE,MindTree Limited
GAIL,GAIL (India) Limited
BERGEPAINT,Berger Paints (I) Limited
EICHERMOT,Eicher Motors Limited
AWL,Adani Wilmar Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
MARICO,Marico Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
ZOMATO,Zomato Limited
MCDOWELL-N,United Spirits Limited
MPHASIS,MphasiS Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
INDUSTOWER,Indus Towers Limited
AMBUJACEM,Ambuja Cements Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
UPL,UPL Limited
NAUKRI,Info Edge (India) Limited
BANKBARODA,Bank of Baroda
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TATAELXSI,Tata Elxsi Limited
JINDALSTEL,Jindal Steel & Power Limited
LODHA,Macrotech Developers Limited
LTTS,L&T Technology Services Limited
GLAND,Gland Pharma Limited
MUTHOOTFIN,Muthoot Finance Limited
PEL,Piramal Enterprises Limited
BEL,Bharat Electronics Limited
JSWENERGY,JSW Energy Limited
HAL,Hindustan Aeronautics Limited
BANDHANBNK,Bandhan Bank Limited
PAGEIND,Page Industries Limited
NMDC,NMDC Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
GODREJPROP,Godrej Properties Limited
IDBI,IDBI Bank Limited
HEROMOTOCO,Hero MotoCorp Limited
HDFCAMC,HDFC Asset Management Company Limited
ABB,ABB India Limited
TRENT,Trent Limited
MOTHERSUMI,Motherson Sumi Systems Limited
ALKEM,Alkem Laboratories Limited
PIIND,PI Industries Limited
BOSCHLTD,Bosch Limited
COLPAL,Colgate Palmolive (India) Limited
CANBK,Canara Bank
BALKRISIND,Balkrishna Industries Limited
VOLTAS,Voltas Limited
CONCOR,Container Corporation of India Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
VBL,Varun Beverages Limited
SAIL,Steel Authority of India Limited
ASTRAL,Astral Limited
ACC,ACC Limited
BIOCON,Biocon Limited
SONACOMS,Sona BLW Precision Forgings Limited
UBL,United Breweries Limited
AUBANK,AU Small Finance Bank Limited
AUROPHARMA,Aurobindo Pharma Limited
PNB,Punjab National Bank
HINDPETRO,Hindustan Petroleum Corporation Limited
PERSISTENT,Persistent Systems Limited
ZYDUSLIFE,Zydus Lifesciences Limited
POLYCAB,Polycab India Limited
HONAUT,Honeywell Automation India Limited
TATACOMM,Tata Communications Limited
JUBLFOOD,Jubilant Foodworks Limited
AARTIIND,Aarti Industries Limited
GUJGASLTD,Gujarat Gas Limited
ASHOKLEY,Ashok Leyland Limited
IOB,Indian Overseas Bank
PAYTM,One 97 Communications Limited
OBEROIRLTY,Oberoi Realty Limited
LUPIN,Lupin Limited
MAXHEALTH,Max Healthcare Institute Limited
BHARATFORG,Bharat Forge Limited
TTML,Tata Teleservices (Maharashtra) Limited
LINDEINDIA,Linde India Limited
LAURUSLABS,Laurus Labs Limited
INDHOTEL,The Indian Hotels Company Limited
TIINDIA,Tube Investments of India Limited
POLICYBZR,PB Fintech Limited
CUMMINSIND,Cummins India Limited
OFSS,Oracle Financial Services Software Limited
YESBANK,Yes Bank Limited
SRTRANSFIN,Shriram Transport Finance Company Limited
DEEPAKNTR,Deepak Nitrite Limited
ATUL,Atul Limited
SCHAEFFLER,Schaeffler India Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
PFC,Power Finance Corporation Limited
TVSMOTOR,TVS Motor Company Limited
PETRONET,Petronet LNG Limited
ABFRL,Aditya Birla Fashion and Retail Limited
RUCHI,Ruchi Soya Industries Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
IRFC,Indian Railway Finance Corporation Limited
DALBHARAT,Dalmia Bharat Limited
NHPC,NHPC Limited
IDEA,Vodafone Idea Limited
ZEEL,Zee Entertainment Enterprises Limited
MRF,MRF Limited
TRIDENT,Trident Limited
COFORGE,Coforge Limited
IPCALAB,IPCA Laboratories Limited
MINDAIND,Minda Industries Limited
RELAXO,Relaxo Footwears Limited
UNIONBANK,Union Bank of India
IGL,Indraprastha Gas Limited
MFSL,Max Financial Services Limited
ABCAPITAL,Aditya Birla Capital Limited
SUPREMEIND,Supreme Industries Limited
OIL,Oil India Limited
CGPOWER,CG Power and Industrial Solutions Limited
DIXON,Dixon Technologies (India) Limited
SOLARINDS,Solar Industries India Limited
BATAINDIA,Bata India Limited
KANSAINER,Kansai Nerolac Paints Limited
TATACHEM,Tata Chemicals Limited
IDFCFIRSTB,IDFC First Bank Limited
RECLTD,REC Limited
CRISIL,CRISIL Limited
SYNGENE,Syngene International Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
TORNTPOWER,Torrent Power Limited
COROMANDEL,Coromandel International Limited
MANYAVAR,Vedant Fashions Limited
HATSUN,Hatsun Agro Product Limited
THERMAX,Thermax Limited
APLAPOLLO,APL Apollo Tubes Limited
ESCORTS,Escorts Limited
SUMICHEM,Sumitomo Chemical India Limited
NATIONALUM,National Aluminium Company Limited
GMRINFRA,GMR Infrastructure Limited
3MINDIA,3M India Limited
FORTIS,Fortis Healthcare Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
NAM-INDIA,Nippon Life India Asset Management Limited
SUNDARMFIN,Sundaram Finance Limited
KPRMILL,K.P.R. Mill Limited
CLEAN,Clean Science and Technology Limited
DEVYANI,Devyani International Limited
POONAWALLA,Poonawalla Fincorp Limited
TANLA,Tanla Platforms Limited
FEDERALBNK,The Federal Bank  Limited
RAJESHEXPO,Rajesh Exports Limited
MSUMI,Motherson Sumi Wiring India Limited
AAVAS,Aavas Financiers Limited
NAVINFLUOR,Navin Fluorine International Limited
IEX,Indian Energy Exchange Limited
VINATIORGA,Vinati Organics Limited
ISEC,ICICI Securities Limited
GICRE,General Insurance Corporation of India
WHIRLPOOL,Whirlpool of India Limited
L&TFH,L&T Finance Holdings Limited
GRINDWELL,Grindwell Norton Limited
PFIZER,Pfizer Limited
EMAMILTD,Emami Limited
PRESTIGE,Prestige Estates Projects Limited
LICHSGFIN,LIC Housing Finance Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
PHOENIXLTD,The Phoenix Mills Limited
SUNTV,Sun TV Network Limited
INDIANB,Indian Bank
SUNDRMFAST,Sundram Fasteners Limited
BANKINDIA,Bank of India
JKCEMENT,JK Cement Limited
NIACL,The New India Assurance Company Limited
RAMCOCEM,The Ramco Cements Limited
DCMSHRIRAM,DCM Shriram Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
SKFINDIA,SKF India Limited
SANOFI,Sanofi India Limited
BHEL,Bharat Heavy Electricals Limited
BCG,Brightcom Group Limited
SFL,Sheela Foam Limited
APTUS,Aptus Value Housing Finance India Limited
AFFLE,Affle (India) Limited
METROBRAND,Metro Brands Limited
KPITTECH,KPIT Technologies Limited
BLUEDART,Blue Dart Express Limited
KAJARIACER,Kajaria Ceramics Limited
TIMKEN,Timken India Limited
CENTRALBK,Central Bank of India
CENTURYPLY,Century Plyboards (India) Limited
GILLETTE,Gillette India Limited
SUVENPHAR,Suven Pharmaceuticals Limited
AJANTPHARM,Ajanta Pharma Limited
GODREJIND,Godrej Industries Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
CDSL,Central Depository Services (India) Limited
ENDURANCE,Endurance Technologies Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
AIAENG,AIA Engineering Limited
NH,Narayana Hrudayalaya Ltd.
IRB,IRB Infrastructure Developers Limited
CARBORUNIV,Carborundum Universal Limited
POWERINDIA,Hitachi Energy India Limited
GRINFRA,G R Infraprojects Limited
IIFLWAM,Iifl Wealth Management Limited
GSPL,Gujarat State Petronet Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
APLLTD,Alembic Pharmaceuticals Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
UCOBANK,UCO Bank
NUVOCO,Nuvoco Vistas Corporation Limited
NATCOPHARM,Natco Pharma Limited
BASF,BASF India Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
INDIAMART,Indiamart Intermesh Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
EXIDEIND,Exide Industries Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
BSE,BSE Limited
ANGELONE,Angel One Limited
INTELLECT,Intellect Design Arena Limited
BSOFT,BIRLASOFT LIMITED
TV18BRDCST,TV18 Broadcast Limited
KIOCL,KIOCL Limited
UTIAMC,UTI Asset Management Company Limited
VTL,Vardhman Textiles Limited
ALOKINDS,Alok Industries Limited
GLENMARK,Glenmark Pharmaceuticals Limited
BAJAJELEC,Bajaj Electricals Limited
FINEORG,Fine Organic Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
APOLLOTYRE,Apollo Tyres Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
MEDPLUS,Medplus Health Services Limited
BRIGADE,Brigade Enterprises Limited
AMBER,Amber Enterprises India Limited
RADICO,Radico Khaitan Limited
PVR,PVR Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
TTKPRESTIG,TTK Prestige Limited
KEI,KEI Industries Limited
REDINGTON,Redington (India) Limited
CAMS,Computer Age Management Services Limited
MAHABANK,Bank of Maharashtra
KIMS,Krishna Institute of Medical Sciences Limited
HINDCOPPER,Hindustan Copper Limited
IIFL,IIFL Finance Limited
HFCL,HFCL Limited
SHRIRAMCIT,Shriram City Union Finance Limited
CGCL,Capri Global Capital Limited
SJVN,SJVN Limited
VIPIND,VIP Industries Limited
LXCHEM,Laxmi Organic Industries Limited
CHEMPLASTS,Chemplast Sanmar Limited
ASAHIINDIA,Asahi India Glass Limited
METROPOLIS,Metropolis Healthcare Limited
LAXMIMACH,Lakshmi Machine Works Limited
CYIENT,Cyient Limited
JSL,Jindal Stainless Limited
GALAXYSURF,Galaxy Surfactants Limited
BLUESTARCO,Blue Star Limited
BDL,Bharat Dynamics Limited
CESC,CESC Limited
BALRAMCHIN,Balrampur Chini Mills Limited
CASTROLIND,Castrol India Limited
MASTEK,Mastek Limited
RHIM,RHI MAGNESITA INDIA LIMITED
ASTERDM,Aster DM Healthcare Limited
IDFC,IDFC Limited
GRAPHITE,Graphite India Limited
QUESS,Quess Corp Limited
KEC,KEC International Limited
ROUTE,ROUTE MOBILE LIMITED
EIHOTEL,EIH Limited
MANAPPURAM,Manappuram Finance Limited
FINPIPE,Finolex Industries Limited
ZYDUSWELL,Zydus Wellness Limited
CENTURYTEX,Century Textiles & Industries Limited
CUB,City Union Bank Limited
SAPPHIRE,Sapphire Foods India Limited
BALAMINES,Balaji Amines Limited
ERIS,Eris Lifesciences Limited
VGUARD,V-Guard Industries Limited
SAREGAMA,Saregama India Limited
SHYAMMETL,Shyam Metalics and Energy Limited
JSLHISAR,Jindal Stainless (Hisar) Limited
AMARAJABAT,Amara Raja Batteries Limited
POLYMED,Poly Medicure Limited
BIRLACORPN,Birla Corporation Limited
ITI,ITI Limited
WELSPUNIND,Welspun India Limited
STLTECH,Sterlite Technologies Limited
NETWORK18,Network18 Media & Investments Limited
ELGIEQUIP,Elgi Equipments Limited
DELTACORP,Delta Corp Limited
ALLCARGO,Allcargo Logistics Limited
FSL,Firstsource Solutions Limited
SUPPETRO,Supreme Petrochem Limited
AKZOINDIA,Akzo Nobel India Limited
NLCINDIA,NLC India Limited
GODREJAGRO,Godrej Agrovet Limited
LATENTVIEW,Latent View Analytics Limited
FACT,Fertilizers and Chemicals Travancore Limited
SUZLON,Suzlon Energy Limited
CANFINHOME,Can Fin Homes Limited
NIITLTD,NIIT Limited
ZENSARTECH,Zensar Technologies Limited
ANURAS,Anupam Rasayan India Limited
MAPMYINDIA,C.E. Info Systems Limited
EIDPARRY,EID Parry India Limited
ECLERX,eClerx Services Limited
KNRCON,KNR Constructions Limited
VMART,V-Mart Retail Limited
SPARC,Sun Pharma Advanced Research Company Limited
RBLBANK,RBL Bank Limited
SONATSOFTW,Sonata Software Limited
MGL,Mahanagar Gas Limited
SYMPHONY,Symphony Limited
INDIGOPNTS,Indigo Paints Limited
POLYPLEX,Polyplex Corporation Limited
GRANULES,Granules India Limited
RENUKA,Shree Renuka Sugars Limited
BEML,BEML Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
TRIVENI,Triveni Engineering & Industries Limited
TEAMLEASE,Teamlease Services Limited
EASEMYTRIP,Easy Trip Planners Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
PRIVISCL,Privi Speciality Chemicals Limited
PRAJIND,Praj Industries Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
SUNCLAYLTD,Sundaram Clayton Limited
AEGISCHEM,Aegis Logistics Limited
GREENPANEL,Greenpanel Industries Limited
JUBLINGREA,Jubilant Ingrevia Limited
SIS,SIS LIMITED
PRINCEPIPE,Prince Pipes And Fittings Limited
TATAINVEST,Tata Investment Corporation Limited
RVNL,Rail Vikas Nigam Limited
ORIENTELEC,Orient Electric Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
HOMEFIRST,Home First Finance Company India Limited
SOBHA,Sobha Limited
GMMPFAUDLR,GMM Pfaudler Limited
PNCINFRA,PNC Infratech Limited
PGHL,Procter & Gamble Health Limited
MMTC,MMTC Limited
LUXIND,Lux Industries Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
TCIEXP,TCI Express Limited
HUDCO,Housing & Urban Development Corporation Limited
TRITURBINE,Triveni Turbine Limited
NBCC,NBCC (India) Limited
RAIN,Rain Industries Limited
MAHINDCIE,Mahindra CIE Automotive Limited
INDIACEM,The India Cements Limited
INOXLEISUR,INOX Leisure Limited
CERA,Cera Sanitaryware Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
JMFINANCIL,JM Financial Limited
EQUITASBNK,Equitas Small Finance Bank Limited
SUNTECK,Sunteck Realty Limited
ASTRAZEN,AstraZeneca Pharma India Limited
RTNINDIA,RattanIndia Enterprises Limited
PNBHOUSING,PNB Housing Finance Limited
RITES,RITES Limited
PSB,Punjab & Sind Bank
CHALET,Chalet Hotels Limited
JUBLPHARMA,Jubilant Pharmova Limited
VAIBHAVGBL,Vaibhav Global Limited
EPL,EPL Limited
MAHLIFE,Mahindra Lifespace Developers Limited
KALYANKJIL,Kalyan Jewellers India Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
BBTC,Bombay Burmah Trading Corporation Limited
GAEL,Gujarat Ambuja Exports Limited
JUSTDIAL,Just Dial Limited
GARFIBRES,Garware Technical Fibres Limited
PRSMJOHNSN,Prism Johnson Limited
FINCABLES,Finolex Cables Limited
RAYMOND,Raymond Limited
JINDWORLD,Jindal Worldwide Limited
GLS,Glenmark Life Sciences Limited
AVANTIFEED,Avanti Feeds Limited
JKLAKSHMI,JK Lakshmi Cement Limited
SHARDACROP,Sharda Cropchem Limited
EDELWEISS,Edelweiss Financial Services Limited
OLECTRA,Olectra Greentech Limited
GOCOLORS,Go Fashion (India) Limited
KALPATPOWR,Kalpataru Power Transmission Limited
GPIL,Godawari Power And Ispat limited
JYOTHYLAB,Jyothy Labs Limited
MTARTECH,Mtar Technologies Limited
SCI,Shipping Corporation Of India Limited
CCL,CCL Products (India) Limited
NAZARA,Nazara Technologies Limited
HEG,HEG Limited
VARROC,Varroc Engineering Limited
GODFRYPHLP,Godfrey Phillips India Limited
GHCL,GHCL Limited
INFIBEAM,Infibeam Avenues Limited
JBMA,JBM Auto Limited
SHOPERSTOP,Shoppers Stop Limited
JKPAPER,JK Paper Limited
CAPLIPOINT,Caplin Point Laboratories Limited
TATVA,Tatva Chintan Pharma Chem Limited
GESHIP,The Great Eastern Shipping Company Limited
BHARATRAS,Bharat Rasayan Limited
INGERRAND,Ingersoll Rand (India) Limited
LEMONTREE,Lemon Tree Hotels Limited
ROSSARI,Rossari Biotech Limited
CRAFTSMAN,Craftsman Automation Limited
RBA,Restaurant Brands Asia Limited
HIKAL,Hikal Limited
MINDACORP,Minda Corporation Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
BARBEQUE,Barbeque Nation Hospitality Limited
TEJASNET,Tejas Networks Limited
JINDALPOLY,Jindal Poly Films Limited
RESPONIND,Responsive Industries Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
KRBL,KRBL Limited
SWANENERGY,Swan Energy Limited
SUPRAJIT,Suprajit Engineering Limited
VSTIND,VST Industries Limited
TCNSBRANDS,TCNS Clothing Co. Limited
JPPOWER,Jaiprakash Power Ventures Limited
ESABINDIA,Esab India Limited
TCI,Transport Corporation of India Limited
RALLIS,Rallis India Limited
IBREALEST,Indiabulls Real Estate Limited
MHRIL,Mahindra Holidays & Resorts India Limited
KSB,Ksb Limited
RPOWER,Reliance Power Limited
JSWHL,JSW Holdings Limited
PDSL,PDS Limited
VIJAYA,Vijaya Diagnostic Centre Limited
GREAVESCOT,Greaves Cotton Limited
GLOBUSSPR,Globus Spirits Limited
UFLEX,UFLEX Limited
GREENLAM,Greenlam Industries Limited
MOIL,MOIL Limited
WELCORP,Welspun Corp Limited
VRLLOG,VRL Logistics Limited
NEOGEN,Neogen Chemicals Limited
FDC,FDC Limited
PCBL,PCBL LIMITED
HEIDELBERG,HeidelbergCement India Limited
HGS,Hinduja Global Solutions Limited
IFBIND,IFB Industries Limited
MAHSCOOTER,Maharashtra Scooters Limited
TINPLATE,The Tinplate Company of India Limited
RELIGARE,Religare Enterprises Limited
NOCIL,NOCIL Limited
